"Timestamp","Where did you hear about this survey?","I understand that my responses in this survey will be used for research purposes.","Gender","Race","Age","If you are currently in school: which best describes your current studies?","If you are not currently in school: what is the highest degree you hold?","Which category best describes your major?","What school do you attend?","How many hackathons have you attended?","How important are the following aspects of a hackathon on a scale of 1 (not important) to 5 (very important) [Good team dynamic]","How important are the following aspects of a hackathon on a scale of 1 (not important) to 5 (very important) [Prestige of institution]","How important are the following aspects of a hackathon on a scale of 1 (not important) to 5 (very important) [Availability of places to sleep/showers]","How important are the following aspects of a hackathon on a scale of 1 (not important) to 5 (very important) [Value of prizes]","How important are the following aspects of a hackathon on a scale of 1 (not important) to 5 (very important) [Mentorship]","How important are the following aspects of a hackathon on a scale of 1 (not important) to 5 (very important) [Ability to put final project on resume]","How important are the following aspects of a hackathon on a scale of 1 (not important) to 5 (very important) [Networking opportunities (good sponsors)]","How important are the following aspects of a hackathon on a scale of 1 (not important) to 5 (very important) [Quality of free food/swag]","How important are the following aspects of a hackathon on a scale of 1 (not important) to 5 (very important) [Low cost of attendance]","How important are the following aspects of a hackathon on a scale of 1 (not important) to 5 (very important) [Diverse group of attendees]","What is your preferred length for a hackathon?","Have you ever worked on a hackathon project after the end of the hackathon?","Have you stayed in touch with people you've met at hackathons?","Would you rather...","Do you identify as a ""hacker?""","How many members does your ideal hackathon team have?","Have you ever received an interview as a result of attending a hackathon?","What types of hackathons have you attended?","I know that final exams are in full swing and you're probably taking this survey to procrastinate. Do you have the time to answer long answer questions?","What inspired you to attend your first hackathon?","Describe your most POSITIVE hackathon experience.","Describe your most NEGATIVE hackathon experience.","Many hackathon projects never get past the prototyping phase. Do they still matter? Why or why not?","What is your favourite part of a hackathon, and why?","What is your least favourite part of a hackathon, and why?","How would you like to see hackathons change?","If you have organized a hackathon: what kinds of mechanisms (if any) do you put in place to facilitate inclusivity and diversity at your hackathon?","If you have any other comments on hackathons in general, put them here."
"2016/12/08 3:10:04 PM EST","Ladies Storm Hackathons","Yes","Female","Caucasian","18","Undergraduate student (1st year)","","Engineering (non-software)","","1","5","5","5","5","5","5","5","5","5","5","12h <= length < 24h","No","More or less (i.e. added them on Facebook, creep them occasionally)","Be the least experienced member of your team","Yes","4","No","University hackathon;Social-issue oriented hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 3:10:44 PM EST","Hackathon Hackers","Yes","Female","Caucasian","23","Undergraduate student (5th+ year)","Undergraduate degree","Computer Science (or related fields like Software Engineering)","EPFL","2","5","1","5","3","3","1","4","5","4","4","24h <= length < 36h","No","No","Be the least experienced member of your team","No","4","No","University hackathon","Yes","I decided to attend to my first hackathon after having seen a lot of ads about a hackathon in my country.  I should do it earlier! ","Sharing with the other team","Very cold rooms, not enough food.  The nights were difficult... ","","","","","Team building session, mini challenges, short workshops",""
"2016/12/08 3:12:08 PM EST","Hackathon Hackers","Yes","Female","Caucasian","20","Undergraduate student (3rd year)","","Computer Science (or related fields like Software Engineering)","Duke University","3","5","2","3","1","4","4","3","3","5","4","12h <= length < 24h","No","More or less (i.e. added them on Facebook, creep them occasionally)","Be the least experienced member of your team","Yes","4","No","University hackathon;Social-issue oriented hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 3:12:10 PM EST","HackMcGill","Yes","Male","South Asian","20","Undergraduate student (3rd year)","Undergraduate degree","Computer Science (or related fields like Software Engineering)","McGill","5+","5","3","3","4","3","4","3","5","4","4","24h <= length < 36h","No","More or less (i.e. added them on Facebook, creep them occasionally)","Be the least experienced member of your team","No","3","No","University hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 3:14:01 PM EST","Hackathon Hackers","Yes","Male","Black","20","Undergraduate student (3rd year)","","Computer Science (or related fields like Software Engineering)","","2","5","4","2","4","4","3","4","4","5","3","24h <= length < 36h","No","More or less (i.e. added them on Facebook, creep them occasionally)","Be the least experienced member of your team","No","4","No","University hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 3:14:26 PM EST","Ladies Storm Hackathons","Yes","Male","South Asian","21","Undergraduate student (4th year)","","Computer Science (or related fields like Software Engineering)","Brown University","5+","5","3","4","2","3","4","4","5","5","4","24h <= length < 36h","No","Yes","Be the most experienced member of your team","Yes","4","Yes","University hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 3:14:42 PM EST","Hackathon Hackers","Yes","Male","South Asian","20","Graduated","Undergraduate degree","Computer Science (or related fields like Software Engineering)","Georgia Tech","3","4","4","4","3","2","5","4","5","4","2","24h <= length < 36h","No","I've never met new people at hackathons","Be the least experienced member of your team","Yes","4","Yes","University hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 3:15:31 PM EST","Hackathon Hackers","Yes","Female","Caucasian","25 or older","Undergraduate student (3rd year)","","General Education (or high school)","Haaga-Helia University of Applied Sciences","2","5","4","4","3","3","5","4","2","5","4","36h <= length < 48h","Yes","Yes","Be the least experienced member of your team","No","4","No","Technical challenge oriented hackathon;Corporate hackathon","Yes","I've been asked by friend to join them and help them as they needed a coder :D Wish they called me earlier, 'cause I had less than 20 hours to create a presentation and a wireframe of our app. But we won 2nd place at the end, so I guess I can't complain.","I've been volunteering at Ultrahack (November 2016, Helsinki) and I've felt really useful without feeling overwhelmed.","Yet to be experienced.","Everything matter if well-realized. It's good to learn from both best and worst practices.","Team working on an idea agreed at unison by the team, or that the team at least seems to like the most.","When other teams don't win. (I must sound very cheesy, but I think that working 24+ hours on something with no stop with people you likely just met at the event must be worth of recognition, regardless of the outcome!)","I like how they are now, I guess it'd be nice to define better roles in the team so that you don't have only coders but a good mix of visual people, people that can present better and people that can actually code.","At Ultrahack we had three boards where we invited people to write down on post-its their name, lastname, phone number and set of skills. People could then pick up the post-its with the people that could have contributed the most for the event.",""
"2016/12/08 3:15:50 PM EST","Hackathon Hackers","Yes","Male","South East Asian","21","Undergraduate student (3rd year)","High school diploma","Computer Science (or related fields like Software Engineering)","Rutgers University","5+","5","4","4","4","2","3","5","5","5","5","24h <= length < 36h","Yes","Yes","Be the most experienced member of your team","Yes","4","No","University hackathon;Social-issue oriented hackathon;Technical challenge oriented hackathon;Corporate hackathon;Online hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 3:16:41 PM EST","Hackathon Hackers","Yes","Male","Caucasian","20","Undergraduate student (2nd year)","","Computer Science (or related fields like Software Engineering)","Swarthmore college","3","5","4","3","1","3","5","4","4","5","2","24h <= length < 36h","Yes","More or less (i.e. added them on Facebook, creep them occasionally)","Be the least experienced member of your team","Yes","3","No","University hackathon","No, but I will anyways","I wanted to make something beyond C++ data structures","Figuring out that a Date was a specific Javascript OBJECT","Realizing that my project wasn't innovative, uninspired, and boring. ","Yes. Learning from your mistakes is so so so so important.","The 2-3 hours after you figure out your project and get a somewhat working model constructed","The first morning, it's just brutal to realize what you have to accomplish
","More focus on specific technologies rather than ""how many sponsor APIs can I use""","",""
"2016/12/08 3:17:29 PM EST","Hackathon Hackers","Yes","Prefer not to say","Prefer not to say","21","Undergraduate student (3rd year)","","Computer Science (or related fields like Software Engineering)","University of Toronto","5+","5","3","5","3","1","3","5","4","5","3","36h <= length < 48h","Yes","More or less (i.e. added them on Facebook, creep them occasionally)","Be the least experienced member of your team","Yes","4","No","University hackathon;Technical challenge oriented hackathon;Online hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 3:18:21 PM EST","HackMcGill","Yes","Female","East Asian","22","Undergraduate student (3rd year)","Undergraduate degree","Computer Science (or related fields like Software Engineering)","McGill University","5+","5","5","5","2","4","5","4","2","5","2","12h <= length < 24h","No","More or less (i.e. added them on Facebook, creep them occasionally)","Be the least experienced member of your team","Yes","4","No","University hackathon","No, but I will anyways","Was told I would learn a lot. Not true in my case because my teammates were too busy with the project to teach me :/","Having a diverse team with people from different technical backgrounds.","Hackathon was too small ~50 people. (Wasn't a university hackathon) And my teammates were similar in terms of age/nerdiness so there wasn't a lot of diversity in the team and our project ended up not being good because there was no one to provide a fresh outsider's perspective.","I feel like hackathon projects (the ones that win) are sometimes done before in other hackathons or are made by startups. It's all about the pitch sometimes and the judges preferences. ","8pm-2am-ish, cuz people get a bit crazy when sleep deprived and there's usually fun activities.","Not being able to wash face / shower / sleep stresslessly","Would like more places to shower. Usually there's no place to shower and if I'm travelling that's not great.","","Was at a hackathon once and dressed slightly nicely. Being a woman, I was asked what I was doing there and if I'm volunteering at the event. I wasn't too happy that I was mistaken for a volunteer and not a hacker because I dressed nice and was a woman. "
"2016/12/08 3:18:43 PM EST","Ladies Storm Hackathons","Yes","Female","Caucasian","20","Undergraduate student (3rd year)","","Computer Science (or related fields like Software Engineering)","Tufts University","3","4","2","3","3","3","4","4","4","5","5","12h <= length < 24h","Yes","No","Be the least experienced member of your team","No","3","No","University hackathon","No, but I will anyways","I really wanted to have more side projects on my resume. I picked up my major later than most, so I wanted to gain more experience. I wish I had gone to one earlier, since I learned so much.","I was able to teach myself ExpressJS and render an entire web app in 12 hours. It was also at an all womens hackathon, so the energy there was so empowering.","My only other teammate was sick and wanted to go sleep and then I was left in the middle of the night without any help on a project I didn't quite understand.","","","The no sleep/no showering/etc... It just makes me feel gross.","The culture associated with them sucks- look at the dudes dominating posts in HH who think they are superior to women and are extremely entitled. ","",""
"2016/12/08 3:19:13 PM EST","Hackathon Hackers","Yes","Male","Caucasian;Middle Eastern","16 or younger","High school student","High school diploma","General Education (or high school)","","4","4","4","3","2","4","5","3","5","5","2","24h <= length < 36h","No","More or less (i.e. added them on Facebook, creep them occasionally)","Be the least experienced member of your team","Yes","4","No","University hackathon;Corporate hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 3:19:28 PM EST","Ladies Storm Hackathons","Yes","Female","East Asian","22","Undergraduate student (5th+ year)","","Computer Science (or related fields like Software Engineering)","University of Toronto","2","5","3","4","2","3","3","4","4","4","3","36h <= length < 48h","No","More or less (i.e. added them on Facebook, creep them occasionally)","Be the least experienced member of your team","No","4","No","University hackathon;Corporate hackathon","No, but I will anyways","Felt like I should","Don't really have one tbh","What I hacked away at for most of the hackathon wasn't integrated into the full product because the person who knew the most about the project, I guess the 'team lead' since it was my first hackathon, decided that the other girl who he was trying to get at in my team had a more important part than I did. I did the whole front end, while the other girl made a toolbar. She didn't think our parts looked good together and the guy thought so too. So in the end we had her toolbar and none of the stuff I did, while he did a very bare bones front end to match her toolbar in the last hour. I didn't feel like I was part of a team at all. Just like I was 3rd wheeling someone else's date.","People don't care","Networking and free stuff I guess.","People aren't as nice","More about learning technologies instead of coming up with a good mockup/presentation. I feel like they're less about learning than before I went to one.","",""
"2016/12/08 3:20:36 PM EST","Ladies Storm Hackathons","Yes","Male","Caucasian;East Asian","21","Undergraduate student (4th year)","","Statistics","McGill","5+","5","2","5","1","3","4","5","4","5","3","36h <= length < 48h","No","More or less (i.e. added them on Facebook, creep them occasionally)","Be the least experienced member of your team","No","3","No","University hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 3:22:10 PM EST","Hackathon Hackers","Yes","Female","Caucasian","21","Undergraduate student (3rd year)","Undergraduate degree","Engineering (non-software)","University of Pennsylvania ","5+","3","4","4","3","3","4","4","5","4","4","24h <= length < 36h","No","Yes","Be the least experienced member of your team","No","3","No","University hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 3:22:52 PM EST","Ladies Storm Hackathons","Yes","Female","South Asian","18","Undergraduate student (1st year)","","Computer Science (or related fields like Software Engineering)","Georgia Institute of Technology","1","4","4","3","4","3","5","4","3","5","4","12h <= length < 24h","Yes","Yes","Be the most experienced member of your team","No","3","No","University hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 3:23:47 PM EST","Hackathon Hackers","Yes","Male","South Asian","18","Undergraduate student (1st year)","High school diploma","Computer Science (or related fields like Software Engineering)","University of Delaware","2","4","5","3","5","5","4","3","5","5","4","12h <= length < 24h","Yes","Yes","Be the least experienced member of your team","Yes","3","No","University hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 3:27:01 PM EST","Ladies Storm Hackathons","Yes","Female","East Asian","19","Undergraduate student (2nd year)","","Computer Science (or related fields like Software Engineering)","Tufts University","1","5","3","3","2","5","5","3","3","5","5","12h <= length < 24h","Yes","More or less (i.e. added them on Facebook, creep them occasionally)","Be the least experienced member of your team","No","4","No","University hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 3:27:07 PM EST","Hackathon Hackers","Yes","Female","Caucasian","20","Undergraduate student (2nd year)","","Computer Science (or related fields like Software Engineering)","King's College London","1","1","3","1","2","1","1","1","3","5","2","12h > length","No","No","Be the least experienced member of your team","No","4","No","Social-issue oriented hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 3:28:36 PM EST","Ladies Storm Hackathons","Yes","Female","Caucasian","23","Undergraduate student (4th year)","","Computer Science (or related fields like Software Engineering)","Ohio State University","3","4","1","4","3","5","5","5","3","5","4","48h <= length","Yes","More or less (i.e. added them on Facebook, creep them occasionally)","Be the least experienced member of your team","No","3","No","University hackathon;Social-issue oriented hackathon;Online hackathon","No, but I will anyways","","","","","","","","",""
"2016/12/08 3:32:01 PM EST","HackMcGill","Yes","Female","South East Asian","18","Undergraduate student (2nd year)","","Computer Science (or related fields like Software Engineering)","McGill","3","3","3","3","2","4","5","4","3","5","4","24h <= length < 36h","No","More or less (i.e. added them on Facebook, creep them occasionally)","Be the least experienced member of your team","Yes","4","No","University hackathon","No, but I will anyways","One of my friends in computer science attended one in UofT and highly encouraged me to do it considering it is one of the best events you can go to if you're interested in the tech field!","Recently I attended HackWestern and everyone was so approachable! It made the commute from Montréal -> London a lot more enjoyable and I'm so thankful for that","Haven't really experienced something so negative that it impacted me in a bad way","","","","","",""
"2016/12/08 3:38:50 PM EST","HackMcGill","Yes","Female","Caucasian","20","Undergraduate student (3rd year)","","Computer Science (or related fields like Software Engineering)","McGill","2","4","1","1","3","5","1","3","4","5","3","12h <= length < 24h","No","More or less (i.e. added them on Facebook, creep them occasionally)","Be the most experienced member of your team","Yes","4","No","University hackathon;Online hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 3:38:57 PM EST","Hackathon Hackers","Yes","Male","South Asian","21","Undergraduate student (2nd year)","","Life Science (i.e. Biology, Pre-Med)","Western University","1","4","5","5","5","3","5","4","5","5","4","36h <= length < 48h","No","More or less (i.e. added them on Facebook, creep them occasionally)","Be the least experienced member of your team","Yes","4","No","University hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 3:43:56 PM EST","Ladies Storm Hackathons","Yes","Female","Caucasian","19","Undergraduate student (2nd year)","","Life Science (i.e. Biology, Pre-Med)","Columbia University","2","5","4","3","2","3","5","3","4","5","3","12h <= length < 24h","No","More or less (i.e. added them on Facebook, creep them occasionally)","Be the least experienced member of your team","No","5","No","University hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 3:45:22 PM EST","Ladies Storm Hackathons","Yes","Female","Caucasian","25 or older","Graduate student","","Computer Science (or related fields like Software Engineering)","King's College London","5+","4","1","4","3","2","1","2","3","4","4","24h <= length < 36h","Yes","Yes","Be the least experienced member of your team","Yes","3","No","University hackathon;Social-issue oriented hackathon;Technical challenge oriented hackathon;Corporate hackathon","No, but I will anyways","I had no idea what it would be, I just followed my makerspace friends along :))","At the London Zoohackathon, we were allowed to walk through the zoo :D","","Of course they matter, they've taught you something!","The beginning, when it involves icebreakers and fun team formation. Hype!","The beginning, when it involves sitting through sponsor presentations. Anti-hype.","","",""
"2016/12/08 3:50:07 PM EST","HackMcGill","Yes","Male","Prefer not to say","18","Undergraduate student (1st year)","","Computer Science (or related fields like Software Engineering)","McGill","1","5","1","2","1","3","5","5","5","5","5","24h <= length < 36h","No","More or less (i.e. added them on Facebook, creep them occasionally)","Be the least experienced member of your team","No","4","No","University hackathon","Yes","I wanted to go see the Waterloo University so it was a good opportunity for this (I attended Hack The North).","The food at HackTheNorth was really good but we did not have a lot of room to work.","I did not go with people I knew or liked so that was one big downside to my experience.","The project in itself does not matter but the work one has put in the project that matters.","When you meet other people and you discuss your projects.","All the talks that are offered don't have their place at a Hackathon IMO (at HTN)","If hackathon's had a part where you present your project to other hackers (like for a school presentation), I would love that and I think it would motivate people to break out of their confort zone to produce an interesting project.","",""
"2016/12/08 3:50:43 PM EST","Hackathon Hackers","Yes","Female","South East Asian","22","Undergraduate student (4th year)","High school diploma","Computer Science (or related fields like Software Engineering)","Community College of Philadelphia","4","4","3","5","3","5","4","4","5","5","5","12h > length","No","More or less (i.e. added them on Facebook, creep them occasionally)","Be the most experienced member of your team","No","4","No","University hackathon;Social-issue oriented hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 3:52:44 PM EST","HackMcGill","Yes","Male","Caucasian","23","","Undergraduate degree","Computer Science (or related fields like Software Engineering)","McGill","5+","5","2","2","2","2","1","1","3","4","2","24h <= length < 36h","Yes","Yes","Be the most experienced member of your team","No","4","No","University hackathon;Corporate hackathon","Yes","I attended the first hackathon I heard about because I like coding for fun and this seemed like a really cool experience.","Nothing beats the feeling of getting something to work.","","Much is learned in the pre-prototype phase.","The drive to get something that works, no matter what hacks you have to make to get it working.  The excuse to work together on something with your friends, and ignore the rest of the world for a weekend.","That winning is determined more by networking/marketing/social than technical ability.  Judges are not very technical.  If me and my team work very hard and accomplish something difficult, it's usually not recognized because we didn't spend time marketing it to people or making it flashy.","","Haven't.  But I think that longer hackathons are more inclusive because they're less intense (though it might appear the opposite).  There's more time to get some sleep and it makes less sense to stay awake the whole time if it's 30 hours or so.
I think we need to somehow do work to make coding seem less scary.  Hackathons are not an adversarial environment (or shouldn't be) and people help each other with all sorts of things without judgement.","I don't know if hackathons are a sustainable model.  When they were less popular, fewer people wanted to go, so it was easier to fit everyone in a room and give them enough food.  Now no one can afford to host a large-scale hackathon big enough to host everyone who applies, so there are lotteries and application processes, which I haven't seen a good way of getting around.  Either you only allow people who are ""good"" (which is obviously bad because it's not inclusive), or you pick randomly (which is probably still bad because then the people who love going to them can't)."
"2016/12/08 3:53:18 PM EST","both HH and LSH","Yes","Female","East Asian","19","Undergraduate student (2nd year)","","Computer Science (or related fields like Software Engineering)","Yale ","4","4","3","5","2","4","4","4","4","4","4","24h <= length < 36h","No","More or less (i.e. added them on Facebook, creep them occasionally)","Be the most experienced member of your team","No","3","Yes","University hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 4:02:22 PM EST","Hackathon Hackers","Yes","Male","brown","22","Undergraduate student (4th year)","","Interdisciplinary combination of Arts & Sciences","Tufts","4","5","1","1","1","1","1","1","1","5","1","12h <= length < 24h","No","Yes","Be the least experienced member of your team","No","4","No","University hackathon;Social-issue oriented hackathon","No, but I will anyways","I wanted to learn!","My first hackathon. I didn't know anything and I learned a ton. I think in the past few years, people have gotten way more immature and pretentious, don't really know why. ","Nothing terrible, just generally very weird vibes! Some people just like to use buzzwords and brag about salaries. It was also very weird seeing all the social capital that certain members of the hackathon community had. They walked around like celebrities and it was very, very confusing! ","Yeah, it's nice to pick an idea and work on it!","","","Things have moved from weird ""alpha-male"" geek to a weird kind of thoughtless liberalism. For what it's worth, I've been to the CCC and loved it. What was awesome about the CCC is people were able to set up their own tables and were not afraid to be political. You had an anarchist table, a free software table, a workers revolution table, etc. The music was also amazing!   ","Inclusive in what way? Diverse for what purpose? I don't like the words ""inclusivity"" or ""diversity"" because it usually ends up involving recruiting some token people of color to weaponize white power. It's like the cops or Goldman Sachs being ""inclusive"" and ""diverse"" in their imperial, capitalist goals. Do rainbow bullets not do the same damage? 

Hackathons are not exactly Goldman Sachs, but when white people are trying to be ""inclusive,"" it ends up being patronizing and assumes that the initial structural order of power is alright. We need a complete restructuring of hackathons. If it were me, I'd create a hackathon specifically for fighting surveillance. This would change the fundamental power structure far more. ","Say hi to Professor Coleman for me! I've enjoyed reading her books and wish I could be in the class you're in! "
"2016/12/08 4:03:16 PM EST","HackMcGill","Yes","Female","Caucasian;South East Asian","22","Undergraduate student (4th year)","Undergraduate degree","Computer Science (or related fields like Software Engineering)","McGill University","1","5","1","4","1","5","3","3","1","5","4","36h <= length < 48h","No","No","Be the least experienced member of your team","No","3","No","University hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 4:20:08 PM EST","Ladies Storm Hackathons","Yes","Female","East Asian","20","Undergraduate student (3rd year)","","Computer Science (or related fields like Software Engineering)","","4","5","2","5","1","3","3","4","5","5","5","12h <= length < 24h","No","More or less (i.e. added them on Facebook, creep them occasionally)","Be the most experienced member of your team","Yes","4","No","University hackathon;Social-issue oriented hackathon;Corporate hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
